"";"df..reverse.postcode.";"df$number"
"1";"69002";2010
"2";"69005";5015
"3";"69270";32001
"4";"69006";6004
"5";"69007";7035
"6";"69100";10120
"7";"69005";5016
"8";"69009";9013
"9";"69100";10028
"10";"69300";6041
"11";"69100";10011
"12";"69800";15002
"13";"69100";10005
"14";"69004";4012
"15";"69300";11004
"16";"69200";16002
"17";"69003";3009
"18";"69100";10122
"19";"69200";16001
"20";"69007";7038
"21";"69100";10091
"22";"69002";2021
"23";"69004";4025
"24";"69100";10113
"25";"69004";4023
"26";"69003";3066
"27";"69006";10111
"28";"69005";5040
"29";"69007";7008
"30";"69007";7024
"31";"69002";2023
"32";"69008";8029
"33";"69004";4004
"34";"69008";8061
"35";"69001";1023
"36";"69007";7003
"37";"69007";7030
"38";"69006";6042
"39";"69002";2013
"40";"69003";3086
"41";"69008";8025
"42";"69003";3050
"43";"69008";8056
"44";"69100";10119
"45";"69007";7053
"46";"69003";3012
"47";"69004";4009
"48";"69100";10089
"49";"69001";1031
"50";"69003";3037
"51";"69008";8035
"52";"69005";5045
"53";"69150";13001
"54";"69006";6035
"55";"69004";1036
"56";"69006";6022
"57";"69009";9020
"58";"69002";2027
"59";"69002";2016
"60";"69003";3080
"61";"69005";5029
"62";"69002";2004
"63";"69500";14001
"64";"69007";7009
"65";"69007";7045
"66";"69003";3101
"67";"69004";4021
"68";"69003";3103
"69";"69006";6031
"70";"69009";9049
"71";"69003";3017
"72";"69009";9009
"73";"69100";10021
"74";"69007";7023
"75";"69006";6044
"76";"69003";3008
"77";"69003";3040
"78";"69008";8042
"79";"69009";9044
"80";"69270";28001
"81";"69100";10075
"82";"69004";4006
"83";"69006";6017
"84";"69002";2036
"85";"69006";6002
"86";"69006";6032
"87";"69008";8055
"88";"69007";7033
"89";"69100";10016
"90";"69007";7041
"91";"69500";3090
"92";"69008";8008
"93";"69003";3071
"94";"69005";5006
"95";"69100";10014
"96";"69100";10004
"97";"69001";1013
"98";"69370";26001
"99";"69009";9010
"100";"69006";6028
"101";"69100";10034
"102";"69003";3058
"103";"69006";6045
"104";"69005";5047
"105";"69008";8053
"106";"69009";9008
"107";"69009";9046
"108";"69004";4042
"109";"69100";10053
"110";"69006";6039
"111";"69100";10110
"112";"69006";6021
"113";"69005";5053
"114";"69008";8058
"115";"69002";2037
"116";"69500";14004
"117";"69002";2026
"118";"69110";22001
"119";"69009";9003
"120";"69002";2038
"121";"69008";8054
"122";"69007";7039
"123";"69002";2012
"124";"69007";7006
"125";"69008";8023
"126";"69008";8011
"127";"69001";1006
"128";"69004";4002
"129";"69600";20003
"130";"69003";3081
"131";"69004";4007
"132";"69140";30002
"133";"69003";3011
"134";"69100";10092
